date,mrp,smb,hml,rf,datenum
20100104,0.0169,0.0058,0.0112,0,734142
20100105,0.0031,-0.0059,0.0122,0,734143
20100106,0.0013,-0.0025,0.0052,0,734144
20100107,0.004,0.0008,0.0094,0,734145
20100108,0.0033,0.004,0.0001,0,734146
20100111,0.0013,-0.0013,-0.0021,0,734149
20100112,-0.01,-0.0019,-0.0131,0,734150
20100113,0.0085,0.0027,0.0034,0,734151
20100114,0.0024,0.0028,0.0005,0,734152
20100115,-0.0112,-0.0013,-0.004,0,734153
20100119,0.0126,0.0042,-0.0016,0,734157
20100120,-0.0098,-0.0059,0.0025,0,734158
20100121,-0.0174,0.0041,-0.0115,0,734159
20100122,-0.0214,0.0055,-0.0082,0,734160
20100125,0.0037,-0.002,0.0034,0,734163
20100126,-0.0045,-0.0009,-0.0046,0,734164
20100127,0.0053,0.0023,0.0016,0,734165
20100128,-0.0118,-0.0067,0.0046,0,734166
20100129,-0.0097,-0.0004,-0.0045,0,734167
20100201,0.0139,-0.002,0.0091,0,734170
20100202,0.0121,-0.0042,0.0067,0,734171
20100203,-0.0049,0.0011,-0.0038,0,734172
20100204,-0.0314,-0.0015,-0.0119,0,734173
20100205,0.0029,-0.0005,-0.0006,0,734174
20100208,-0.0079,0.0005,-0.0036,0,734177
20100209,0.0133,0.0032,0.0059,0,734178
20100210,-0.0017,0.0025,0.0029,0,734179
20100211,0.0113,0.0072,0.0007,0,734180
20100212,-0.0007,0.0097,0.0014,0,734181
20100216,0.0175,-0.0029,0.0102,0,734185
20100217,0.0049,0.0011,0.0012,0,734186
20100218,0.0062,0.0011,0.0001,0,734187
20100219,0.0028,0.0005,0.0048,0,734188
20100222,-0.0005,-0.0004,0.0058,0,734191
20100223,-0.0124,0.0027,-0.0094,0,734192
20100224,0.0094,-0.0035,0.0053,0,734193
20100225,-0.0013,0.0024,0.0028,0,734194
20100226,0.0013,-0.0055,0.0039,0,734195
20100301,0.012,0.0121,0.0007,0,734198
20100302,0.0032,0.0061,0.0019,0,734199
20100303,0.0009,0.0017,0.0009,0,734200
20100304,0.0037,0.0009,0.0023,0,734201
20100305,0.0143,0.0039,0.0061,0,734202
20100308,0.0002,0.0008,0.0026,0,734205
20100309,0.0021,0.0024,-0.001,0,734206
20100310,0.0053,0.0005,0.0069,0,734207
20100311,0.0043,-0.0009,-0.0011,0,734208
20100312,-0.0002,0.0003,-0.0028,0,734209
20100315,-0.0002,-0.0031,-0.0048,0,734212
20100316,0.0078,-0.0014,0.0059,0,734213
20100317,0.0057,0.0004,0.0035,0,734214
20100318,-0.001,-0.0017,-0.0057,0,734215
20100319,-0.0062,-0.006,-0.0063,0,734216
20100322,0.0067,0.0089,0.0001,0,734219
20100323,0.008,0.0035,0.0036,0,734220
20100324,-0.006,-0.0064,0.0082,0,734221
20100325,-0.0026,-0.0048,-0.0028,0,734222
20100326,0.0006,-0.0008,0.0031,0,734223
20100329,0.0059,-0.0007,0.0019,0,734226
20100330,0.0004,0.0029,-0.0045,0,734227
20100331,-0.0036,-0.005,0.0015,0,734228
20100401,0.0075,-0.0001,0.0079,0.001,734229
20100405,0.0095,0.0107,0.0092,0.001,734233
20100406,0.0019,0.0024,0.0046,0.001,734234
20100407,-0.0048,0.0021,0.0024,0.001,734235
20100408,0.0031,-0.0028,0.0039,0.001,734236
20100409,0.0066,-0.0012,0.0017,0.001,734237
20100412,0.0023,0.0027,0.0006,0.001,734240
20100413,0.0007,0.0016,-0.0004,0.001,734241
20100414,0.0124,0.0087,0.0141,0.001,734242
20100415,0.0011,0.0059,-0.0004,0.001,734243
20100416,-0.0153,0.008,-0.0183,0.001,734244
20100419,0.0028,-0.0085,-0.0008,0.001,734247
20100420,0.0088,0.0066,0.0056,0.001,734248
20100421,-0.0006,0.0071,0.002,0.001,734249
20100422,0.0037,0.0081,0.0049,0.001,734250
20100423,0.007,0.0037,0.0057,0.001,734251
20100426,-0.0043,0.0045,-0.0031,0.001,734254
20100427,-0.0234,0.0011,-0.0141,0.001,734255
20100428,0.0056,-0.0074,0.0074,0.001,734256
20100429,0.0134,0.0046,0.0046,0.001,734257
20100430,-0.0172,-0.0097,-0.0092,0.001,734258
20100503,0.0136,0.0065,0.0061,0.001,734261
20100504,-0.025,-0.0058,-0.0089,0.001,734262
20100505,-0.0075,-0.0074,-0.0063,0.001,734263
20100506,-0.0327,-0.0027,-0.009,0.001,734264
20100507,-0.0175,-0.0135,-0.0048,0.001,734265
20100510,0.0447,0.0097,0.0117,0.001,734268
20100511,-0.0017,0.0116,-0.0015,0.001,734269
20100512,0.0163,0.0148,0.0019,0.001,734270
20100513,-0.0112,0.0032,-0.003,0.001,734271
20100514,-0.0192,-0.0027,-0.0076,0.001,734272
20100517,0.0011,0.0004,-0.0056,0.001,734275
20100518,-0.0141,-0.0024,-0.0096,0.001,734276
20100519,-0.0063,-0.0097,0.0003,0.001,734277
20100520,-0.0399,-0.0089,-0.0116,0.001,734278
20100521,0.0144,-0.0045,0.0158,0.001,734279
20100524,-0.0119,0.0033,-0.0091,0.001,734282
20100525,-0.0003,-0.0047,0.0054,0.001,734283
20100526,-0.0035,0.0083,0.0038,0.001,734284
20100527,0.0345,0.0066,0.0161,0.001,734285
20100528,-0.0118,0.0006,-0.0063,0.001,734286
20100601,-0.0189,-0.0109,-0.0157,0.001,734290
20100602,0.0263,0.0019,0.0043,0.001,734291
20100603,0.0054,0.007,-0.0028,0.001,734292
20100604,-0.0362,-0.0122,-0.007,0.001,734293
20100607,-0.0152,-0.0108,-0.0106,0.001,734296
20100608,0.009,-0.0147,0.0017,0.001,734297
20100609,-0.0046,0.0074,-0.0017,0.001,734298
20100610,0.0295,0.004,0.009,0.001,734299
20100611,0.0062,0.0093,0.0006,0.001,734300
20100614,-0.0006,0.0066,0.0001,0.001,734303
20100615,0.0236,0.0008,0.0091,0.001,734304
20100616,-0.0011,-0.0021,-0.0032,0.001,734305
20100617,0.0008,-0.0016,-0.0046,0.001,734306
20100618,0.0013,0,0.0024,0.001,734307
20100621,-0.0047,-0.0054,0,0.001,734310
20100622,-0.0163,-0.0034,-0.0075,0.001,734311
20100623,-0.0029,-0.0005,0.0023,0.001,734312
20100624,-0.0165,0.001,-0.0089,0.001,734313
